stroke_id,stroke_type,start_frame,contact_frame,end_frame,camera_angle,player_handedness
0,serve,0,48,61,side,
1,forehand_smash,77,91,97,side,
2,forehand_smash,205,213,217,side,
3,backhand_smash,277,287,290,side,
4,backhand_smash,303,308,311,side,
5,forehand_smash,407,419,421,side,
6,serve,429,432,441,side,
7,serve,493,508,520,side,
8,backhand_smash,611,620,623,side,
9,backhand_smash,702,707,713,side,
10,backhand_smash,736,748,750,side,
11,forehand_smash,861,875,878,side,
12,forehand_smash,962,978,981,side,
13,backhand_smash,1025,1037,1040,side,
14,serve,1077,1080,1087,side,
15,forehand_smash,1140,1147,1152,side,
16,backhand_smash,1325,1337,1341,side,
17,backhand_smash,1359,1366,1368,side,
18,serve,1382,1445,1456,side,
19,forehand_smash,1474,1488,1491,side,
20,backhand_smash,1526,1538,1540,side,
21,forehand_smash,1555,1564,1567,side,
22,forehand_smash,1607,1621,1622,side,
23,serve,1640,1659,1668,side,
24,serve,1875,1910,1917,side,
25,backhand_smash,1931,1937,1941,side,
26,serve,1957,1985,1994,side,
27,backhand_smash,2010,2014,2019,side,
28,backhand_smash,2117,2122,2127,side,
29,forehand_smash,2264,2271,2276,side,
30,backhand_smash,2292,2305,2309,side,
31,serve,2358,2365,2375,side,
32,forehand_smash,2488,2498,2500,side,
33,serve,2546,2578,2584,side,
34,serve,2620,2644,2654,side,
35,forehand_smash,2671,2684,2686,side,
36,backhand_smash,2768,2775,2779,side,
37,forehand_smash,2797,2804,2809,side,
38,serve,2825,2840,2848,side,
39,backhand_smash,2867,2872,2874,side,
40,serve,2916,2931,2941,side,
41,forehand_smash,2955,2970,2982,side,
42,serve,3014,3040,3050,side,
43,backhand_smash,3065,3074,3079,side,
44,serve,3124,3152,3165,side,
45,backhand_smash,3218,3223,3227,side,
46,backhand_smash,3267,3279,3281,side,
47,backhand_smash,3293,3298,3304,side,
48,serve,3363,3371,3378,side,
49,backhand_smash,3392,3397,3400,side,
50,forehand_smash,3416,3425,3433,side,
51,forehand_smash,3458,3466,3472,side,
52,backhand_smash,3490,3498,3503,side,
53,backhand_smash,3522,3530,3535,side,
54,backhand_smash,3644,3656,3659,side,
55,backhand_smash,3713,3724,3728,side,
56,backhand_smash,3895,3907,3915,side,
57,backhand_smash,3933,3944,3946,side,
58,serve,4025,4056,4066,side,
59,backhand_smash,4132,4143,4146,side,
60,backhand_smash,4204,4213,4216,side,
61,serve,4248,4252,4265,side,
62,backhand_smash,4316,4321,4324,side,
63,serve,4346,4364,4370,side,
64,backhand_smash,4453,4465,4467,side,
65,forehand_smash,4488,4500,4502,side,
66,backhand_smash,4523,4534,4537,side,
67,serve,4562,4668,4674,side,
68,backhand_smash,4690,4695,4699,side,
69,backhand_smash,4712,4716,4719,side,
70,backhand_smash,4733,4738,4742,side,
71,forehand_smash,4757,4762,4765,side,
72,serve,4783,4797,4806,side,
73,forehand_smash,4821,4837,4843,side,
74,backhand_smash,4875,4882,4886,side,
75,serve,4931,4943,4953,side,
76,backhand_smash,5126,5133,5138,side,
77,backhand_smash,5205,5209,5215,side,
78,backhand_smash,5398,5408,5412,side,
79,backhand_smash,5425,5430,5433,side,
80,forehand_smash,5446,5453,5456,side,
81,forehand_smash,5607,5613,5616,side,
82,forehand_smash,5631,5640,5645,side,
83,forehand_smash,5664,5668,5676,side,
84,backhand_smash,5721,5728,5730,side,
85,backhand_smash,5745,5751,5754,side,
86,forehand_smash,5833,5848,5854,side,
87,backhand_smash,5867,5871,5875,side,
88,backhand_smash,5891,5896,5900,side,
89,forehand_smash,5913,5919,5923,side,
90,forehand_smash,5971,5982,5984,side,
91,forehand_smash,6001,6012,6015,side,
92,backhand_smash,6113,6122,6125,side,
93,forehand_smash,6138,6145,6150,side,
94,forehand_smash,6167,6173,6178,side,
95,backhand_smash,6197,6205,6210,side,
96,forehand_smash,6235,6243,6247,side,
97,forehand_smash,6271,6278,6283,side,
98,forehand_smash,6366,6377,6383,side,
99,serve,6469,6478,6489,side,
100,backhand_smash,6536,6541,6543,side,
101,serve,6569,6612,6621,side,
102,forehand_smash,6642,6648,6652,side,
103,forehand_smash,6664,6669,6672,side,
104,serve,6786,6813,6824,side,
105,backhand_smash,6840,6846,6850,side,
106,backhand_smash,6907,6913,6915,side,
107,backhand_smash,6947,6957,6959,side,
108,backhand_smash,6973,6978,6981,side,
109,backhand_smash,7014,7024,7027,side,
110,serve,7081,7084,7093,side,
111,serve,7384,7411,7422,side,
112,forehand_chop,7488,7493,7498,side,
113,forehand_chop,7596,7602,7608,side,
114,backhand_smash,7649,7654,7658,side,
115,serve,7670,7690,7701,side,
116,forehand_smash,7754,7759,7763,side,
117,backhand_smash,7819,7829,7833,side,
118,backhand_smash,7848,7853,7856,side,
119,forehand_smash,7870,7877,7883,side,
