stroke_id,stroke_type,start_frame,contact_frame,end_frame,camera_angle,player_handedness
0,forehand_smash,1,6,10,side,right
1,forehand_smash,29,35,39,side,right
2,forehand_smash,57,63,66,side,right
3,forehand_smash,85,92,96,side,right
4,forehand_smash,113,120,124,side,right
5,forehand_smash,141,148,152,side,right
6,forehand_smash,170,177,181,side,right
7,forehand_smash,198,205,209,side,right
8,forehand_smash,227,233,237,side,right
9,forehand_smash,254,262,266,side,right
10,forehand_smash,284,291,295,side,right
11,forehand_smash,313,320,324,side,right
12,forehand_smash,343,349,353,side,right
13,forehand_smash,371,379,383,side,right
14,forehand_smash,400,408,412,side,right
15,forehand_smash,430,438,442,side,right
16,forehand_smash,458,467,471,side,right
17,forehand_smash,487,495,499,side,right
18,forehand_smash,516,523,527,side,right
19,forehand_smash,545,553,557,side,right
20,forehand_smash,574,581,585,side,right
21,forehand_smash,602,610,614,side,right
22,forehand_smash,631,639,643,side,right
23,forehand_smash,660,667,671,side,right
24,forehand_smash,688,696,700,side,right
25,forehand_smash,716,724,728,side,right
26,forehand_smash,745,752,756,side,right
27,forehand_smash,772,780,784,side,right
28,forehand_smash,801,809,813,side,right
29,forehand_smash,829,837,841,side,right
30,forehand_smash,858,865,869,side,right
31,forehand_smash,885,893,897,side,right
32,forehand_smash,914,922,926,side,right
33,forehand_smash,942,950,954,side,right
34,forehand_smash,970,978,982,side,right
35,forehand_smash,998,1006,1010,side,right
36,forehand_smash,1027,1034,1038,side,right
37,forehand_smash,1054,1062,1066,side,right
38,forehand_smash,1083,1090,1094,side,right
39,forehand_smash,1110,1118,1122,side,right
40,forehand_smash,1138,1146,1150,side,right
41,forehand_smash,1166,1174,1178,side,right
42,forehand_smash,1195,1202,1206,side,right
43,forehand_smash,1223,1231,1235,side,right
44,forehand_smash,1253,1260,1264,side,right
45,forehand_smash,1281,1289,1293,side,right
46,forehand_smash,1311,1318,1322,side,right
47,forehand_smash,1339,1346,1350,side,right
48,forehand_smash,1366,1375,1379,side,right
49,forehand_smash,1395,1402,1406,side,right
50,forehand_smash,1424,1431,1435,side,right
51,forehand_smash,1451,1459,1463,side,right
52,forehand_smash,1480,1487,1491,side,right
53,forehand_smash,1508,1516,1520,side,right
54,forehand_smash,1538,1545,1549,side,right
55,forehand_smash,1576,1582,1586,side,right
56,forehand_smash,1604,1610,1613,side,right
57,forehand_smash,1632,1639,1643,side,right
58,forehand_smash,1660,1667,1671,side,right
59,forehand_smash,1688,1696,1700,side,right
60,forehand_smash,1717,1724,1728,side,right
61,forehand_smash,1745,1752,1756,side,right
62,forehand_smash,1773,1780,1784,side,right
63,forehand_smash,1801,1808,1811,side,right
