stroke_id,stroke_type,start_frame,contact_frame,end_frame,camera_angle,player_handedness
0,serve,18,54,61,side,
1,forehand_chop,80,92,94,side,
2,serve,139,171,179,side,
3,backhand_smash,226,233,238,side,
4,backhand_smash,278,283,285,side,
5,backhand_smash,316,323,329,side,
6,forehand_smash,359,369,372,side,
7,serve,400,428,438,side,
8,backhand_smash,455,464,469,side,
9,forehand_chop,568,577,579,side,
10,forehand_chop,605,611,613,side,
11,forehand_smash,669,679,682,side,
12,forehand_smash,711,721,722,side,
13,forehand_smash,769,775,780,side,
14,serve,820,833,844,side,
15,serve,859,0,876,side,
16,backhand_smash,969,977,981,side,
17,backhand_smash,1019,1027,1031,side,
18,forehand_smash,1058,1067,1070,side,
19,forehand_smash,1088,1101,1106,side,
20,forehand_chop,1160,1164,1175,side,
21,forehand_chop,1186,1192,1201,side,
22,serve,1238,1245,1256,side,
23,forehand_smash,1278,1292,1297,side,
24,backhand_smash,1628,1638,1644,side,
25,forehand_smash,1654,1665,1673,side,
26,backhand_smash,1698,1707,1712,side,
27,forehand_chop,1762,1766,1772,side,
28,backhand_smash,1789,1802,1805,side,
29,forehand_smash,1882,1888,1892,side,
30,serve,1896,1917,1928,side,
31,backhand_smash,1941,1948,1953,side,
32,serve,1982,2016,2029,side,
33,backhand_smash,2039,2052,2054,side,
34,serve,2088,2123,2135,side,
35,serve,2148,2160,2163,side,
36,backhand_smash,2208,2217,2222,side,
37,backhand_smash,2240,2245,2249,side,
38,backhand_smash,2261,2270,2274,side,
39,forehand_smash,2288,2298,2303,side,
40,backhand_smash,2317,2324,2330,side,
41,forehand_smash,2346,2357,2364,side,
42,forehand_smash,2384,2392,2397,side,
43,forehand_smash,2414,2426,2432,side,
44,serve,2448,2485,2498,side,
45,serve,2592,2600,2611,side,
46,forehand_chop,2626,2632,2638,side,
47,forehand_chop,2717,2722,2728,side,
48,forehand_smash,2811,2816,2822,side,
49,backhand_smash,2834,2840,2846,side,
50,serve,2860,2901,2911,side,
51,forehand_smash,2927,2939,2943,side,
52,forehand_chop,2957,2961,2964,side,
53,backhand_smash,3018,3027,3032,side,
54,forehand_chop,3051,3055,3062,side,
55,forehand_smash,3083,3090,3095,side,
56,backhand_smash,3108,3113,3118,side,
57,serve,3167,3200,3214,side,
58,forehand_chop,3226,3234,3238,side,
59,serve,3291,3324,3339,side,
60,forehand_chop,3347,3364,3367,side,
61,serve,3425,3453,3465,side,
62,forehand_smash,3510,3516,3524,side,
63,backhand_smash,3535,3544,3550,side,
64,backhand_smash,3565,3572,3577,side,
65,backhand_smash,3590,3599,3603,side,
66,forehand_smash,3662,3676,3680,side,
67,serve,3727,3752,3759,side,
68,forehand_smash,3768,3779,3784,side,
69,forehand_smash,3795,3802,3807,side,
70,backhand_smash,3906,3916,3922,side,
71,backhand_smash,3933,3942,3947,side,
72,forehand_smash,4068,4083,4086,side,
73,forehand_smash,4096,4105,4111,side,
74,serve,4174,4218,4228,side,
75,backhand_smash,4489,4496,4501,side,
76,backhand_smash,4510,4519,4524,side,
77,forehand_smash,4535,4546,4551,side,
78,forehand_smash,4563,4574,4581,side,
79,serve,4615,4622,4634,side,
80,forehand_smash,4651,4659,4663,side,
81,backhand_smash,4680,4691,4695,side,
82,backhand_smash,4708,4713,4718,side,
83,forehand_smash,4742,4755,4759,side,
84,forehand_smash,4778,4784,4788,side,
85,serve,4821,4836,4846,side,
86,forehand_smash,4869,4882,4887,side,
87,serve,4904,4925,4932,side,
88,forehand_smash,4948,4963,4972,side,
89,forehand_smash,5073,5088,5092,side,
90,backhand_smash,5212,5221,5227,side,
91,backhand_smash,5238,5248,5251,side,
92,backhand_smash,5262,5269,5276,side,
93,backhand_smash,5334,5339,5344,side,
