stroke_id,stroke_type,start_frame,contact_frame,end_frame,camera_angle,player_handedness
0,serve,14,61,71,side,
1,forehand_smash,187,197,206,side,
2,forehand_smash,233,245,254,side,
3,forehand_smash,280,293,300,side,
4,forehand_smash,325,333,342,side,
5,forehand_smash,370,384,392,side,
6,forehand_smash,468,476,487,side,
7,forehand_smash,517,527,536,side,
8,backhand_smash,562,575,585,side,
9,forehand_smash,684,693,702,side,
10,backhand_smash,743,754,759,side,
11,forehand_smash,791,805,808,side,
12,serve,819,840,851,side,
13,forehand_smash,874,887,892,side,
14,forehand_smash,974,987,991,side,
15,backhand_smash,1124,1134,1143,side,
16,forehand_smash,1223,1235,1238,side,
17,forehand_smash,1303,1315,1324,side,
18,forehand_smash,1395,1410,1416,side,
19,backhand_smash,1493,1504,1511,side,
20,forehand_smash,1581,1588,1593,side,
21,serve,1744,1802,1807,side,
22,forehand_smash,1836,1847,1852,side,
23,forehand_smash,1887,1899,1902,side,
24,forehand_smash,2001,2016,2021,side,
25,forehand_smash,2094,2109,2115,side,
26,forehand_smash,2148,2160,2163,side,
27,backhand_smash,2318,2329,2336,side,
28,forehand_smash,2413,2425,2431,side,
29,forehand_smash,2459,2473,2476,side,
30,backhand_smash,2536,2545,2550,side,
31,forehand_smash,2711,2724,2730,side,
32,forehand_smash,2764,2775,2785,side,
33,backhand_smash,2806,2810,2818,side,
34,forehand_smash,2838,2847,2853,side,
35,serve,2894,2924,2932,side,
36,backhand_smash,2954,2967,2971,side,
37,forehand_smash,3046,3058,3067,side,
38,forehand_smash,3146,3159,3165,side,
39,forehand_smash,3202,3214,3223,side,
40,backhand_smash,3335,3343,3350,side,
41,backhand_smash,3430,3439,3442,side,
42,forehand_smash,3462,3469,3473,side,
43,forehand_smash,3506,3518,3521,side,
44,backhand_smash,3587,3599,3606,side,
45,forehand_smash,3687,3694,3698,side,
46,serve,3792,3849,3858,side,
47,backhand_smash,3934,3944,3948,side,
48,forehand_smash,4012,4017,4025,side,
49,forehand_smash,4045,4052,4057,side,
50,serve,4143,4205,4213,side,
51,backhand_smash,4234,4247,4252,side,
52,backhand_smash,4277,4287,4289,side,
53,forehand_smash,4311,4324,4326,side,
54,serve,4372,4394,4400,side,
55,forehand_smash,4426,4437,4447,side,
56,backhand_smash,4472,4483,4491,side,
57,forehand_smash,4514,4524,4539,side,
58,backhand_smash,4564,4574,4576,side,
59,backhand_smash,4648,4657,4662,side,
60,forehand_chop,4683,4693,4702,side,
61,forehand_chop,4800,4811,4821,side,
62,forehand_chop,4845,4854,4866,side,
63,forehand_chop,4890,4899,4909,side,
64,backhand_smash,4949,4966,4974,side,
65,backhand_smash,5000,5011,5017,side,
66,backhand_smash,5043,5056,5069,side,
67,forehand_smash,5090,5107,5115,side,
68,forehand_smash,5139,5150,5160,side,
69,backhand_smash,5247,5260,5267,side,
70,forehand_smash,5290,5297,5303,side,
71,serve,5341,5377,5388,side,
72,forehand_smash,5450,5462,5472,side,
73,forehand_smash,5545,5560,5565,side,
74,backhand_smash,5657,5671,5680,side,
75,forehand_smash,5706,5716,5718,side,
76,forehand_smash,5748,5761,5763,side,
77,serve,5800,5860,5869,side,
78,serve,6040,6057,6066,side,
79,backhand_smash,6088,6101,6110,side,
80,forehand_smash,6135,6146,6156,side,
81,forehand_chop,6179,6191,6205,side,
82,forehand_chop,6229,6242,6250,side,
83,backhand_smash,6273,6280,6293,side,
84,serve,6346,6352,6359,side,
85,forehand_smash,6393,6401,6406,side,
86,forehand_smash,6439,6452,6457,side,
87,forehand_smash,6493,6503,6511,side,
88,backhand_smash,6593,6604,6608,side,
89,forehand_smash,6639,6651,6659,side,
90,forehand_smash,6695,6705,6707,side,
91,forehand_smash,6741,6751,6755,side,
92,forehand_smash,6784,6794,6801,side,
93,forehand_smash,6833,6845,6851,side,
94,forehand_smash,6880,6890,6895,side,
95,forehand_smash,6922,6935,6939,side,
96,backhand_smash,7074,7085,7091,side,
97,forehand_smash,7159,7172,7179,side,
98,forehand_smash,7256,7269,7276,side,
99,backhand_smash,7403,7414,7421,side,
100,forehand_smash,7450,7462,7468,side,
101,forehand_smash,7588,7600,7605,side,
102,forehand_smash,7635,7648,7653,side,
103,forehand_smash,7684,7694,7699,side,
104,forehand_smash,7732,7744,7748,side,
105,serve,7802,7835,7843,side,
106,forehand_smash,7873,7886,7890,side,
107,forehand_smash,7921,7934,7940,side,
108,forehand_smash,7975,7989,7993,side,
109,forehand_smash,8024,8033,8040,side,
110,serve,8078,8117,8126,side,
111,forehand_smash,8149,8163,8170,side,
112,forehand_smash,8288,8300,8304,side,
113,forehand_smash,8449,8462,8469,side,
114,forehand_smash,8546,8558,8565,side,
115,forehand_smash,8597,8612,8620,side,
116,forehand_smash,8700,8714,8718,side,
117,backhand_smash,8772,8781,8790,side,
118,forehand_smash,8862,8875,8880,side,
119,forehand_smash,8908,8923,8925,side,
120,forehand_smash,8960,8974,8980,side,
121,serve,9010,9028,9037,side,
122,forehand_smash,9068,9079,9083,side,
123,forehand_smash,9114,9128,9131,side,
124,serve,9143,9153,9165,side,
125,backhand_smash,9186,9200,9208,side,
126,forehand_smash,9240,9255,9265,side,
127,forehand_smash,9300,9314,9316,side,
